job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
Associate Software Developer,Brooksource,https://www.indeed.com/cmp/Brooksource,"Grand Rapids, MI",*We cannot provide sponsorship at this time*.,Posted30+ days ago,
,"Web Traffic Partners, Inc.","https://www.indeed.com/jobs?q=Web+Traffic+Partners,+Inc&l=Ada,+MI&nc=jasx","Ada, MI 49301",The ideal candidate will be fluent with WordPress and committed to delivering professional level work while being a strong contributing team member.,PostedToday,
,Eagle Creek Software Services,https://www.indeed.com/cmp/Eagle-Creek-Software-Services,"Grand Rapids, MI",Computer-related coursework or experience.,Posted6 days ago,Estimated $73.3K – $92.9K a year
Software Engineer ($75K to $90K with Benefits & Bonuses),Jarvis Recruitment,https://www.indeed.com/addlLoc/redirect?tk=1fr2rni203oa6000&jk=937ce2bf2b4f3ea3&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252B4vq4gqhAeCglub3JtdGl0bGUaEXNvZnR3YXJlIGVuZ2luZWVy,"Rockford, MI 49341+1 location",Entry- to Mid-level Software Engineers.,Posted30+ days ago,
Software Engineering Opportunities,Performance,https://www.indeed.com/addlLoc/redirect?tk=1fr2rni203oa6000&jk=2d980c422e164e7c&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252FQs9YOqhAeCglub3JtdGl0bGUaEXNvZnR3YXJlIGVuZ2luZWVy,"Grand Rapids, MI 49546+1 location",We are looking for passionate Software Engineers to design and develop software solutions for upcoming projects.,Posted10 days ago,Estimated $77.6K – $98.2K a year
,Manufacturing Action Group,"https://www.indeed.com/q-Manufacturing-Action-Group-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49546","MAGI offers a competitive benefits package, including medical, dental, 401K program, paid vacations and holidays.",Posted4 days ago,Estimated $69.4K – $87.8K a year
,Ad Hoc Team,https://www.indeed.com/cmp/Ad-Hoc-Team,"Remote in Grand Rapids, MI","They write well-structured, tested, and secure code with little feedback or guidance.",Posted1 day ago,Estimated $101K – $128K a year
,TCS,https://www.indeed.com/cmp/Tcs,"Grand Rapids, MI","Analyses, Codes and/or configures, tests, and implements programs and packages.",Posted3 days ago,Estimated $86.4K – $109K a year
Cloud Software Developer,Open Systems Technologies Inc,"https://www.indeed.com/jobs?q=Open+Systems+Technologies+Inc&l=Grand+Rapids,+MI&nc=jasx","Grand Rapids, MI 49504 (West Grand area)",Cloud Software Developer (Full-time | Remote).,Posted16 days ago,Estimated $81.8K – $104K a year
E-Commerce Web Developer ($75K to $90K w/ Benefits and Bonuses!),Jarvis Recruitment,,"Rockford, MI 49341",Entry- to Mid-level Web Developers.,Posted30+ days ago,
